#,Variable,Descripcion,Tipo,Base / Tabla origen,Esquema,Llave de join,Periodo / Filtro,Ventana,Desfase (vs codmes_pea=202606),Particularidad
1,subject_id,Identificador del cliente (tipo_doc-num_doc). Clave primaria de la base,texto,ds_rtd_rskvol_indicadores_pea (PEA),e_perm_aws,-,p_fecinformacion=20260616,foto,0,Clave; se parte en cod_tip_doc y key_value
2,cod_tip_doc,Código de tipo de documento,texto,derivado de subject_id,-,-,-,-,0,"split_part(subject_id,'-',1)"
3,key_value,Número de documento (clave de joins),texto,derivado de subject_id,-,-,-,-,0,"substring(subject_id,3)"
4,p_fecinformacion,Fecha de información de la PEA (yyyymmdd),texto,PEA,e_perm_aws,-,=20260616,foto,0,Define el ancla temporal
5,codmes_pea,Periodo de la PEA (yyyymm) = ancla del query,texto,derivado,-,-,=202606,foto,0,"substring(p_fecinformacion,1,6)"
6,DEUDA_CAS,Saldo castigado asignado al cliente,numérico,t_fact_report_rcc_rsk (CTEs c/d/e/f),e_perm_aws,subject_id,codmes=202604 / ventana 24m,act / U24M,-2 / 24m,"Cascada: 0 si CAST_IBK_REP (c) o NO_CAST_IBK_U24M (d); s_cast_noibk si CAST_NOIBK actual (e); sld_u24 si NO-IBK U24M (f); si no, 0"
7,sit_lab_ap,Situación laboral (PEA),texto,PEA,e_perm_aws,-,20260616,foto,0,-
8,RNG_ANT_UREPORT,Rango antigüedad del último reporte de castigo no-IBK U24M (0-6M..19-24M),texto,df_castigo_u24M_noibk (t_fact_report_rcc_rsk),e_perm_aws,subject_id,cta 8113/8123/8133; condicion>30; ventana 24m ancla 20260401,U24M,hasta -1m,Solo aplica a la rama f (NO_CAST_NOIBK_U24M); ant_ureporte = meses vs 202604
9,RNG_EDAD,Rango de edad,texto,PEA (edad),e_perm_aws,-,20260616,foto,0,-
10,edad_num,Edad numérica (entra al árbol),entero,PEA (edad),e_perm_aws,-,20260616,foto,0,Valor crudo de 'edad'
11,rk_ing,Rango de renta/ingreso,texto,PEA (renta),e_perm_aws,-,20260616,foto,0,-
12,rk_ing_num,Renta/ingreso numérica (entra al árbol),numérico,PEA (renta),e_perm_aws,-,20260616,foto,0,Valor crudo de 'renta'
13,ANTI_CAST,Antigüedad del castigo no-IBK (<5años / [5años+),texto,CTE e (dm_cast_noibk),e_perm_aws,subject_id,codmes=202604,act,-2,dm_cast_noibk = max por entidad de min(condicion); /360 ≈ años
14,FLG_CAST_REP,Castigo reportado en cob_rcc (CASTIGOS_REP/NO_REP_CASTIGO),texto,T_cob_rcc_consulta_hist (df_rcc_castigos_act b),e_perm_aws,subject_id,p_periodo=202604; CTA 8113/8123/8133 u 811925/812925/813925,act,-2,Marca presencia de castigo reportado
15,FLG_CAST_TOT,Tiene castigo en RCC en U24M (CASTIGOS_TOT/NO_CASTIGO),texto,t_fact_report_rcc_rsk (df_rcc_castigos_tot b1),e_perm_aws,tip_doc+key_value,cta 8113/8123/8133; condicion>30; ventana 24m ancla 20260401,U24M,0 / 24m,-
16,FLG_CAST_AP,Segmento principal de castigo (usado para los escenarios),texto,CTEs c/d/e/f,e_perm_aws,subject_id,varios,act / U24M,-2 / 24m,"Jerarquía: CAST_IBK_REP(c) > NO_CAST_IBK_U24M(d) > CAST_NOIBK_REP<5/>=5años(e, por dm/360) > NO_CAST_NOIBK_U24M(f) > NO_REP_CASTIGO"
